drug1,drug2,3pathssGSEA_sim,SMILES_sim,PPI_sim
AG-014699,Temozolomide,0.99210249,0.171003717,4.35109E-68
MPS-1-IN-1,PFI-1,0.991841811,0.254166667,NA
QL-XII-61,Tipifarnib,0.991789923,NA,1.4383E-104
KIN001-260,XMD11-85h,0.991563352,NA,NA
JQ1,Lenalidomide,0.99135901,0.151898734,3.61805E-74
Cisplatin,PD-173074,0.991264151,0.011976048,0.9
KIN001-260,VNLG/124,0.991199246,0.280193237,NA
Bleomycin,MS-275,0.991053539,0.185096154,1.45963E-71
JQ12,XMD11-85h,0.990802818,NA,2.6734E-73
Shikonin,THZ-2-102-1,0.990613722,NA,1.64259E-78
681640,Bryostatin 1,0.990457235,0.111607143,1.97539E-72
BAY 61-3606,CCT018159,0.99039019,0.210884354,1.45963E-71
Masitinib,Obatoclax Mesylate,0.990366134,0.174311927,8.73939E-67
BX-912,Cisplatin,0.990175185,0.012987013,6.45759E-66
PHA-793887,Temozolomide,0.990110303,0.144404332,1.18275E-67
BAY 61-3606,THZ-2-102-1,0.989760713,NA,3.4236E-130
BMS-345541,Z-LLNle-CHO,0.989642136,0.154285714,1.00924E-83
ATRA,PD-173074,0.989590423,0.066666667,0.9
Methotrexate,TPCA-1,0.989580808,0.172932331,2.6734E-73
NSC-207895,rTRAIL,0.989496903,NA,NA
KIN001-260,MS-275,0.989202684,0.126984127,NA
AV-951,BMS-345541,0.988938494,0.20754717,6.45759E-66
AT-7519,Tamoxifen,0.988848411,0.163841808,6.45759E-66
681640,FTI-277,0.988789692,0.333333333,1.07853E-70
BMS-509744,Nutlin-3a,0.988782624,0.282229965,6.2706E-132
AT-7519,KIN001-055,0.988568338,0.140776699,2.74341E-83
CEP-701,XMD8-92,0.988522018,0.272401434,3.7128E-84
GSK-650394,Lapatinib,0.988500513,0.249011858,5.88856E-69
QL-XII-47,YM201636,0.988437166,0.278481013,6.1106E-122
KIN001-260,Vinblastine,0.988426138,0.225464191,NA
Bryostatin 1,FTI-277,0.988340316,0.129464286,5.718E-135
Bleomycin,Parthenolide,0.988266036,0.146835443,7.96929E-70
KIN001-260,NSC-87877,0.988085206,0.139880952,NA
ABT-869,NU-7441,0.988062619,0.17167382,1.8485E-85
Sorafenib,XL-880,0.988034631,0.369458128,0.9
QL-XII-61,RDEA119,0.98803242,NA,5.88856E-69
MPS-1-IN-1,SB590885,0.987953241,0.200680272,NA
JQ12,VNLG/124,0.987833093,NA,NA
SB590885,Tamoxifen,0.987796517,0.279411765,1.18275E-67
JQ12,KIN001-260,0.987742234,NA,NA
CI-1040,GW-2580,0.987672501,0.156097561,6.45759E-66
MPS-1-IN-1,Tamoxifen,0.987656662,0.18627451,NA
TPCA-1,UNC0638,0.987592512,0.12109375,2.3068E-132
Vinblastine,XMD11-85h,0.98756886,NA,5.51029E-82
AICAR,GSK-1904529A,0.987499323,0.209302326,6.5301E-109
VNLG/124,XMD11-85h,0.987484111,NA,NA
BX-795,MPS-1-IN-1,0.987258285,0.349019608,NA
OSI-930,PAC-1,0.987184326,0.212962963,7.8531E-103
A-770041,Cetuximab,0.98711492,0.210884354,7.96929E-70
AV-951,PD-0332991,0.98701431,0.222996516,8.73939E-67
T0901317,Tamoxifen,0.9869893,0.224489796,6.45759E-66
Bryostatin 1,UNC0638,0.986964549,0.110655738,8.4863E-133
BMS-345541,PD-0332991,0.986927435,0.288065844,1.60068E-68
BMS-345541,PIK-93,0.986843976,0.170124481,3.21504E-67
A-443654,TW 37,0.986779921,0.184210526,1.18275E-67
MS-275,Phenformin,0.98669538,0.137931034,2.56718E-96
CCT018159,XMD11-85h,0.986677111,NA,1.60068E-68
ATRA,GDC0941,0.986570266,0.072033898,7.96929E-70
Docetaxel,WH-4-023,0.986569546,0.198606272,1.97539E-72
MS-275,Parthenolide,0.986485099,0.126436782,0.9
OSI-930,XMD11-85h,0.986404282,NA,0.9
KIN001-055,MPS-1-IN-1,0.986289048,0.426315789,NA
GSK2126458,Obatoclax Mesylate,0.98628233,0.179878049,1.18275E-67
EX-527,Gemcitabine,0.986152189,0.14957265,6.45759E-66
Tipifarnib,XL-880,0.986127966,0.214285714,4.35109E-68
CI-1040,VX-11e,0.985982744,0.261538462,0.9
BMS-345541,IOX2,0.985885031,0.147465438,4.17821E-91
CGP-082996,GSK-650394,0.985839165,0.271356784,4.6334E-131
Bexarotene,Sorafenib,0.985809076,0.149171271,2.02712E-82
Vinblastine,VNLG/124,0.985731966,0.193353474,NA
Sorafenib,TW 37,0.985701212,0.275362319,0.9
A-770041,ABT-869,0.985674307,0.261324042,1.27812E-97
Phenformin,VNLG/124,0.985607181,0.123076923,NA
AMG-706,KU-55933,0.98548405,0.168582375,1.45963E-71
Tamoxifen,ZSTK474,0.985377979,0.163636364,0.9
A-443654,QL-XII-61,0.985364283,NA,5.36967E-72
QL-XI-92,Temozolomide,0.985332862,NA,1.21372E-77
MPS-1-IN-1,T0901317,0.985266131,0.225225225,NA
TW 37,XL-880,0.985157852,0.230769231,1.07853E-70
AT-7519,SB590885,0.985143296,0.191729323,2.16628E-69
QL-X-138,Salubrinal,0.985042148,0.35678392,2.3068E-132
AS605240,WZ-1-84,0.984737348,0.203539823,1.196E-110
PFI-1,ZSTK474,0.984628452,0.140909091,1.21372E-77
BX-795,Methotrexate,0.984458231,0.338403042,6.45759E-66
A-770041,QL-X-138,0.984297476,0.26875,4.6334E-131
AKT inhibitor VIII,CGP-082996,0.984255601,0.32173913,6.2706E-132
KIN001-244,NVP-TAE684,0.984235074,0.245551601,4.5151E-121
CEP-701,SB-715992,0.984206708,0.246153846,4.35109E-68
BAY 61-3606,XMD11-85h,0.984115326,NA,1.18275E-67
BMS-345541,Vinblastine,0.984074057,0.180758017,4.8965E-75
CHIR-99021,Rapamycin,0.984069343,0.121693122,0.9
KU-55933,rTRAIL,0.984004316,NA,NA
CMK,XMD14-99,0.983993791,NA,NA
Afatinib,PHA-793887,0.983961715,0.180505415,2.37561E-66
AT-7519,PFI-1,0.983904847,0.226851852,1.18275E-67
BMS-345541,OSI-930,0.983835754,0.221153846,6.45759E-66
MPS-1-IN-1,NG-25,0.983832234,0.329113924,NA
JQ12,PD-0332991,0.983764297,NA,4.6334E-131
PIK-93,VX-11e,0.983704497,0.229508197,1.45963E-71
Bleomycin,PAC-1,0.983577754,0.14953271,2.93174E-70
TG101348,Vinblastine,0.983420748,0.227027027,4.2251E-134
CAY10603,Docetaxel,0.983404878,0.287356322,4.35109E-68
Afatinib,Tubastatin A,0.983393429,0.167259786,0.9
IOX2,KIN001-260,0.98337278,0.190661479,NA
SGC0946,TL-1-85,0.983361603,NA,NA
BMS-345541,KIN001-260,0.983346934,0.1,NA
(5Z)-7-Oxozeaenol,Obatoclax Mesylate,0.983192452,0.14532872,4.35109E-68
Bryostatin 1,GSK2126458,0.983175719,0.091240876,1.45963E-71
CCT007093,KIN001-055,0.983157778,0.104938272,3.7128E-84
CCT018159,THZ-2-102-1,0.983150967,NA,4.17821E-91
NG-25,TPCA-1,0.983148952,0.212765957,2.28123E-89
CCT018159,FTI-277,0.983089176,0.154135338,5.88856E-69
Bexarotene,XL-880,0.982838453,0.130890052,1.00924E-83
AR-42,MG-132,0.982638484,0.228571429,8.73939E-67
MS-275,TG101348,0.982624321,0.2,4.6334E-131
Bleomycin,BMS-345541,0.982539453,0.163461538,6.45759E-66
AS605240,Tamoxifen,0.982532574,0.208860759,6.45759E-66
OSI-930,Phenformin,0.98252601,0.136094675,3.38564E-87
Phenformin,TG101348,0.982495123,0.126373626,8.4863E-133
Lenalidomide,SB590885,0.982469123,0.227467811,2.1036E-135
AZ628,QS11,0.98242969,0.310185185,2.8468E-136
MPS-1-IN-1,ZSTK474,0.982366833,0.234782609,NA
QL-XII-61,TW 37,0.982364931,NA,3.61805E-74
PAC-1,VNLG/124,0.982307227,0.317073171,NA
Cytarabine,VNLG/124,0.98230441,0.14354067,NA
FTI-277,GSK2126458,0.982040875,0.196911197,4.8965E-75
RDEA119,Tipifarnib,0.981913165,0.151851852,2.56718E-96
A-443654,NVP-BEZ235,0.981884871,0.315,0.9
681640,TPCA-1,0.981804176,0.23255814,0.9
BX-795,ZSTK474,0.981758184,0.25106383,6.45759E-66
Parthenolide,Phenformin,0.981750346,0.050420168,1.49785E-81
IOX2,NSC-87877,0.981703339,0.174342105,1.2595E-130
BMS-345541,NSC-87877,0.981666915,0.194139194,6.04277E-79
MS-275,XMD11-85h,0.981607127,NA,6.80024E-86
AZD7762,HG-5-88-01,0.981573055,NA,1.0628E-103
SB-715992,Sorafenib,0.981544935,0.235042735,5.88856E-69
A-443654,FR-180204,0.981524413,0.368932039,1.45963E-71
PHA-793887,Tubastatin A,0.981487984,0.245059289,3.21504E-67
FR-180204,SB52334,0.98148707,0.387755102,NA
(5Z)-7-Oxozeaenol,FTI-277,0.981457747,0.233009709,4.1173E-124
PD-0332991,Vinblastine,0.981377798,0.298701299,7.26706E-73
OSI-930,Parthenolide,0.981369274,0.087804878,5.88856E-69
PAC-1,TG101348,0.981055327,0.155462185,4.6334E-131
TG101348,XMD11-85h,0.980944939,NA,1.00924E-83
NVP-BEZ235,XL-880,0.980848371,0.286407767,4.07158E-81
BX-795,TPCA-1,0.980807702,0.231372549,2.43783E-76
BMS-345541,MS-275,0.98080372,0.261111111,4.2876E-101
ABT-869,Vismodegib,0.980786475,0.318435754,4.07158E-81
TPCA-1,ZSTK474,0.980778294,0.109170306,7.26706E-73
GW843682X,MK-2206,0.980752017,0.205882353,0.9
Lapatinib,Vinorelbine,0.980664078,0.227272727,0.9
Pazopanib,ZSTK474,0.980620713,0.271428571,2.37561E-66
GW 441756,Nilotinib,0.980556171,0.271428571,9.83489E-74
PFI-1,T0901317,0.980442119,0.431137725,5.02473E-85
A-770041,KU-55933,0.980426804,0.191135734,1.13576E-90
681640,MPS-1-IN-1,0.980414637,0.234309623,NA
GSK2126458,Methotrexate,0.980319029,0.196610169,0.9
Bryostatin 1,TPCA-1,0.980262992,0.088607595,1.4174E-137
AZD7762,IPA-3,0.980229917,0.076530612,1.60068E-68
GSK1070916,Lapatinib,0.980182191,0.280528053,0.9
NSC-87877,Vinblastine,0.980161369,0.236144578,4.58196E-88
FTI-277,UNC0638,0.980155623,0.194915254,6.2706E-132
CP724714,KIN001-244,0.98015153,0.305019305,1.13576E-90
Bleomycin,KIN001-260,0.980140166,0.181222707,NA
NVP-BEZ235,QL-XII-61,0.980101087,NA,2.50167E-86
Camptothecin,JNK-9L,0.97997582,0.1875,NA
Cytarabine,TG101348,0.979903519,0.146153846,1.3812E-127
Bleomycin,VNLG/124,0.979790712,0.142168675,NA
AG-014699,CCT018159,0.979751151,0.18705036,1.18275E-67
Docetaxel,Temsirolimus,0.979705719,0.436681223,0.9
Lenalidomide,PFI-1,0.979683561,0.285714286,5.718E-135
NSC-87877,PIK-93,0.979679988,0.181818182,1.5543E-134
Cetuximab,QL-X-138,0.979659493,0.243523316,1.64259E-78
BAY 61-3606,FTI-277,0.979634852,0.217898833,1.9466E-105
PXD101; Belinostat,XMD14-99,0.979634815,NA,2.93174E-70
GW-2580,PIK-93,0.979593871,0.154471545,2.3068E-132
CGP-082996,GSK1070916,0.979549943,0.3,6.2706E-132
Methotrexate,NG-25,0.979494183,0.307692308,2.37561E-66
(5Z)-7-Oxozeaenol,NSC-87877,0.97943546,0.197879859,6.04277E-79
AZD6482,CAY10603,0.979421864,0.236842105,7.45737E-83
PIK-93,Z-LLNle-CHO,0.979400032,0.171806167,8.17799E-80
JQ12,TG101348,0.979389378,NA,2.4023E-109
OSI-930,TG101348,0.979356235,0.236734694,7.26706E-73
GSK2126458,UNC0638,0.979352401,0.210332103,1.60068E-68
A-443654,XL-880,0.979280006,0.290909091,6.45759E-66
Bleomycin,Vinblastine,0.979227616,0.352822581,5.36967E-72
AT-7519,MPS-1-IN-1,0.979196402,0.173228346,NA
Bleomycin,JQ12,0.979185265,NA,8.73939E-67
Crizotinib,FR-180204,0.979180152,0.282945736,1.18275E-67
Parthenolide,PF-4708671,0.979134545,0.074468085,9.44413E-97
A-443654,MK-2206,0.979089664,0.232026144,0.9
KIN001-260,PAC-1,0.978883338,0.298165138,NA
PAC-1,Vinblastine,0.978830884,0.18,3.4236E-130
(5Z)-7-Oxozeaenol,Bryostatin 1,0.978724516,0.306451613,6.2706E-132
AMG-706,QL-X-138,0.97858233,0.37745098,2.81526E-93
BMS-345541,JQ12,0.978468822,NA,4.2876E-101
Erlotinib,OSI-906,0.978445607,0.264840183,0.9
681640,BX-795,0.978422986,0.205533597,0.9
EX-527,SGC0946,0.978374871,0.189003436,8.4863E-133
PXD101; Belinostat,Rapamycin,0.978327671,0.157024793,0.9
NSC-207895,Salubrinal,0.9782859,0.192118227,6.2706E-132
(5Z)-7-Oxozeaenol,Methotrexate,0.978180571,0.192771084,6.45759E-66
AT-7519,Imatinib,0.978127779,0.266666667,0.9
BX-795,CCT018159,0.978079498,0.161716172,0.9
Gemcitabine,SGC0946,0.978073811,0.240131579,6.45759E-66
(5Z)-7-Oxozeaenol,XMD11-85h,0.978071888,NA,1.8485E-85
CGP-60474,Mitomycin C,0.978060257,0.11827957,9.0689E-120
Sorafenib,XMD8-92,0.977980351,0.290322581,5.88856E-69
BX-912,PD-173074,0.97791103,0.369098712,1.60068E-68
NSC-87877,Obatoclax Mesylate,0.977862237,0.2,1.07853E-70
CEP-701,KIN001-236,0.97786166,NA,NA
CCT018159,Cytarabine,0.977850486,0.166666667,1.07853E-70
IOX2,OSI-930,0.977765146,0.278026906,4.35109E-68
HG-5-88-01,SB-505124,0.977753374,NA,3.1219E-133
SB590885,UNC0638,0.977742982,0.217391304,1.7045E-131
Methotrexate,MPS-1-IN-1,0.977734853,0.280898876,NA
JNJ-26854165,QL-VIII-58,0.977715595,NA,1.7045E-131
KIN001-260,Phenformin,0.977648752,0.081218274,NA
BAY 61-3606,Shikonin,0.977640049,0.16,1.60068E-68
AMG-706,YK 4-279,0.977617877,0.304932735,NA
Gemcitabine,PHA-793887,0.977583834,0.185328185,6.45759E-66
Bryostatin 1,BX-795,0.977566002,0.107806691,3.00852E-80
TG101348,VNLG/124,0.977547653,0.162895928,NA
Masitinib,NSC-87877,0.977503066,0.225,1.97539E-72
NSC-87877,TAK-715,0.977355804,0.209439528,8.73939E-67
Epothilone B,FH535,0.97734659,0.100961538,NA
CAY10603,ZM-447439,0.977318532,0.262295082,4.35109E-68
JNK Inhibitor VIII,KIN001-236,0.977279455,NA,NA
PFI-1,TPCA-1,0.97727481,0.260465116,2.1036E-135
Cisplatin,KIN001-266,0.977259122,0.010582011,1.45963E-71
CCT018159,Methotrexate,0.977231873,0.178451178,6.45759E-66
SB590885,TPCA-1,0.977230682,0.149466192,4.6334E-131
KIN001-055,Tamoxifen,0.977197494,0.209459459,2.37561E-66
TG101348,THZ-2-102-1,0.977148551,NA,5.718E-135
RDEA119,XL-880,0.977056552,0.238297872,8.73939E-67
SB590885,T0901317,0.977054251,0.127906977,1.7045E-131
CCT018159,NG-25,0.977019508,0.200743494,3.96768E-71
Cytarabine,MS-275,0.976820163,0.146666667,1.13576E-90
NSC-87877,XMD11-85h,0.976797017,NA,8.73939E-67
CMK,JNJ-26854165,0.976767378,0.253333333,NA
CCT018159,CX-5461,0.976747132,0.199488491,1.10677E-80
BAY 61-3606,TG101348,0.976747099,0.303846154,2.37561E-66
AZD7762,SB-505124,0.976734845,0.152727273,2.6734E-73
CCT018159,TG101348,0.976728519,0.185053381,4.6334E-131
CGP-60474,NVP-TAE684,0.976724173,0.331838565,2.93174E-70
BMS-345541,Parthenolide,0.976709907,0.0625,0.9
Pazopanib,VX-680,0.976586035,0.378723404,0.9
Camptothecin,STF-62247,0.976578588,0.129230769,5.51029E-82
NVP-BHG712,ZM-447439,0.976510423,0.413654618,2.37561E-66
THZ-2-102-1,XMD11-85h,0.976468781,NA,1.13576E-90
ATRA,HG-6-64-1,0.976441291,0.075376884,2.22301E-79
GSK2126458,TPCA-1,0.976440574,0.202290076,7.26706E-73
MPS-1-IN-1,TPCA-1,0.976414801,0.151515152,NA
NG-25,PFI-1,0.976278261,0.311627907,1.45963E-71
SNX-2112,Temsirolimus,0.97620284,0.201954397,2.3068E-132
IOX2,VX-11e,0.976083258,0.239130435,2.16628E-69
AZD-0530,CGP-60474,0.976048594,0.31277533,1.18275E-67
KIN001-055,QL-XI-92,0.976033981,NA,5.2142E-138
SB590885,ZSTK474,0.975932139,0.165384615,0.9
A-770041,AC220,0.975881222,0.311345646,1.0906E-113
CCT007093,T0901317,0.975865064,0.146496815,7.7385E-136
BX-912,KIN001-266,0.975857096,0.217857143,1.10677E-80
(5Z)-7-Oxozeaenol,ZM-447439,0.975807628,0.219730942,2.37561E-66
PHA-793887,QL-XI-92,0.975787941,NA,7.45737E-83
AZD8055,WZ3105,0.975764716,NA,3.21504E-67
681640,KIN001-055,0.975759362,0.195876289,0.9
GSK-1904529A,XMD13-2,0.975704032,NA,NA
FTI-277,XMD11-85h,0.975679228,NA,7.8531E-103
PD-0332991,Z-LLNle-CHO,0.975677333,0.212244898,2.1036E-135
TL-1-85,WZ-1-84,0.975594533,NA,NA
AZD-0530,NVP-TAE684,0.97544477,0.468085106,0.9
Erlotinib,YM201636,0.975422381,0.285185185,8.73939E-67
MP470,WZ-1-84,0.975337011,0.344129555,4.35109E-68
BMS-754807,PXD101; Belinostat,0.975294961,0.118421053,2.93174E-70
(5Z)-7-Oxozeaenol,UNC0638,0.97529132,0.187772926,1.7045E-131
CH5424802,HG-5-113-01,0.975236518,NA,4.6334E-131
SNX-2112,TAK-715,0.975233996,0.241691843,4.70196E-98
CEP-701,Sorafenib,0.975232934,0.244897959,0.9
Parthenolide,Z-LLNle-CHO,0.975183744,0.171232877,1.1485E-133
AZD7762,Shikonin,0.975175023,0.163179916,1.1655E-100
NG-25,Tamoxifen,0.975162571,0.211956522,1.60068E-68
CX-5461,VNLG/124,0.975148653,0.122857143,NA
BX-795,QL-XI-92,0.975130042,NA,7.26706E-73
(5Z)-7-Oxozeaenol,BAY 61-3606,0.974948427,0.174418605,2.56718E-96
AZD8055,THZ-2-49,0.974944893,NA,3.21504E-67
GDC0941,HG-6-64-1,0.974833469,0.247557003,4.2251E-134
AC220,Vismodegib,0.97480739,0.257627119,2.341E-99
CMK,QL-VIII-58,0.974782055,NA,NA
Temsirolimus,WH-4-023,0.974778726,0.152727273,9.20312E-87
GDC0941,PD-173074,0.974767749,0.273648649,4.35109E-68
AG-014699,QL-XI-92,0.97468297,NA,1.07853E-70
AT-7519,CCT007093,0.974668198,0.144444444,2.93174E-70
Crizotinib,NVP-BEZ235,0.974653612,0.283950617,0.9
Cetuximab,NU-7441,0.974580012,0.241860465,1.5773E-101
KIN001-244,Salubrinal,0.974566683,0.283898305,2.3068E-132
AZD7762,THZ-2-102-1,0.974543414,NA,8.6119E-100
CH5424802,JW-7-52-1,0.974492692,0.317460317,2.3068E-132
JQ12,PAC-1,0.974484383,NA,4.35109E-68
681640,NG-25,0.97444823,0.339805825,0.9
NSC-87877,OSI-930,0.974402782,0.179153094,8.73939E-67
Crizotinib,Tipifarnib,0.974361453,0.221453287,0.9
AKT inhibitor VIII,JNJ-26854165,0.974335214,0.304123711,2.3068E-132
KIN001-055,SB590885,0.974320328,0.155378486,3.4236E-130
KIN001-260,TG101348,0.974237539,0.161290323,NA
Imatinib,T0901317,0.974084212,0.204651163,8.73939E-67
Bleomycin,Phenformin,0.974048302,0.06835443,5.36967E-72
Cytarabine,JQ12,0.974044624,NA,7.96929E-70
A-443654,SB52334,0.973932291,0.271028037,NA
Phenformin,THZ-2-102-1,0.973841331,NA,6.2706E-132
Olaparib,XMD14-99,0.973792691,NA,7.96929E-70
CUDC-101,TL-1-85,0.973786592,NA,NA
EX-527,SB 216763,0.973753699,0.383419689,8.4863E-133
Masitinib,ZM-447439,0.973745639,0.326530612,0.9
Docetaxel,MLN4924,0.973696691,0.234693878,7.96929E-70
Nilotinib,Paclitaxel,0.97364618,0.202614379,6.45759E-66
PF-4708671,PIK-93,0.973613787,0.155642023,2.3068E-132
681640,SB590885,0.97356627,0.207692308,4.35109E-68
Pazopanib,THZ-2-102-1,0.973470929,NA,0.9
ZG-10,Zibotentan; ZD4054,0.973413395,0.235294118,NA
AV-951,Z-LLNle-CHO,0.973400429,0.126760563,1.1485E-133
KIN001-055,PFI-1,0.973360165,0.220512821,6.2706E-132
AZD6244,BMN-673,0.973349792,0.229226361,0.9
NG-25,Pazopanib,0.97331809,0.25210084,3.21504E-67
IOX2,MS-275,0.973307257,0.30964467,2.1347E-102
FR-180204,QL-XII-61,0.973292642,NA,2.1347E-102
Temsirolimus,ZM-447439,0.973220158,0.213709677,6.45759E-66
GSK2126458,NSC-87877,0.973160957,0.215384615,6.45759E-66
KU-55933,QL-X-138,0.973151206,0.217054264,6.1106E-122
Shikonin,TG101348,0.973116141,0.136170213,4.8965E-75
IOX2,Vinblastine,0.973110979,0.238636364,1.7045E-131
Cisplatin,GSK-1904529A,0.973107396,0.003546099,8.73939E-67
BAY 61-3606,Methotrexate,0.97310439,0.358778626,0.9
OSI-930,PD-0332991,0.973013925,0.233215548,8.73939E-67
CP724714,Salubrinal,0.973001136,0.338028169,3.1219E-133
GSK2126458,XMD11-85h,0.972985763,NA,6.45759E-66
Cytarabine,XMD11-85h,0.972958932,NA,1.72975E-98
rTRAIL,YK 4-279,0.972928946,NA,NA
Methotrexate,ZSTK474,0.972928096,0.269565217,6.45759E-66
(5Z)-7-Oxozeaenol,NVP-BHG712,0.972911746,0.136842105,9.20312E-87
AKT inhibitor VIII,CMK,0.972814071,0.344569288,NA
681640,QL-XI-92,0.972734386,NA,3.21504E-67
CH5424802,Parthenolide,0.972700772,0.098654709,1.68561E-88
ABT-263,AKT inhibitor VIII,0.972695773,0.259493671,1.49785E-81
Gemcitabine,SB 216763,0.972680382,0.146153846,2.16628E-69
BMS-754807,XMD14-99,0.972652892,NA,1.07853E-70
A-770041,AMG-706,0.972645388,0.280645161,1.18275E-67
MK-2206,Sorafenib,0.972644815,0.216393443,0.9
BMS-345541,PAC-1,0.972604623,0.153061224,1.60068E-68
PAC-1,PF-4708671,0.972595174,0.169902913,5.8027E-102
KIN001-260,THZ-2-102-1,0.972554709,NA,NA
TAK-715,Temsirolimus,0.972497855,0.139072848,6.45759E-66
Cytarabine,OSI-930,0.972489114,0.14,0.9
JNJ-26854165,Zibotentan; ZD4054,0.972367994,0.173387097,7.7385E-136
AS605240,CUDC-101,0.972313725,0.188340807,4.8965E-75
AZ628,Camptothecin,0.972260332,0.192546584,5.88856E-69
IOX2,PF-4708671,0.972243224,0.173333333,2.3068E-132
CH5424802,PAC-1,0.972233552,0.154471545,2.0499E-125
AZD7762,Phenformin,0.972212088,0.119170984,6.2706E-132
ABT-869,Cetuximab,0.972211143,0.209876543,4.07158E-81
FTI-277,QL-XI-92,0.972188857,NA,3.1219E-133
PF-4708671,VX-11e,0.972140938,0.298804781,5.8027E-102
FTI-277,TPCA-1,0.972138988,0.222727273,2.3068E-132
681640,GSK2126458,0.972073763,0.269709544,0.9
QL-XII-61,Sorafenib,0.972035168,NA,4.35109E-68
BX-795,FTI-277,0.972002508,0.26122449,2.43783E-76
AG-014699,Tubastatin A,0.97198201,0.449074074,2.93174E-70
ATRA,I-BET,0.97197979,0.064377682,8.73939E-67
Phenformin,Vinblastine,0.971978245,0.095846645,1.7045E-131
AICAR,XMD13-2,0.971894353,NA,NA
(5Z)-7-Oxozeaenol,TPCA-1,0.97183981,0.161434978,2.28123E-89
CAY10603,Temsirolimus,0.971812524,0.240963855,6.6267E-76
NVP-BEZ235,TW 37,0.971787983,0.218446602,1.18275E-67
Crizotinib,SB52334,0.971726649,0.188888889,NA
Bleomycin,Z-LLNle-CHO,0.97169876,0.17884131,6.04277E-79
GSK2126458,ZM-447439,0.97168868,0.242424242,0.9
AG-014699,Gemcitabine,0.971654818,0.168582375,0.9
Masitinib,Temsirolimus,0.971574186,0.13986014,1.60068E-68
Cytarabine,Phenformin,0.971452703,0.106508876,3.21504E-67
Parthenolide,TG101348,0.971445595,0.092592593,2.22301E-79
MK-2206,NVP-BEZ235,0.971414328,0.238754325,0.9
Docetaxel,ZM-447439,0.971398302,0.247148289,6.45759E-66
Elesclomol,Temsirolimus,0.971345629,0.113861386,2.3068E-132
CX-5461,TG101348,0.971290817,0.252077562,6.2706E-132
AS605240,T0901317,0.971257002,0.139175258,1.5773E-101
NU-7441,OSI-027,0.971254946,0.181318681,1.5773E-101
AG-014699,Cytarabine,0.971053536,0.166007905,4.35109E-68
Bleomycin,TG101348,0.971004902,0.219679634,7.26706E-73
KIN001-260,Obatoclax Mesylate,0.970970694,0.245847176,NA
A-443654,Tipifarnib,0.970969344,0.182879377,5.36967E-72
ABT-869,KU-55933,0.970934535,0.139240506,3.29924E-77
Methotrexate,SB590885,0.970927154,0.215488215,6.45759E-66
MS-275,PD-0332991,0.970884624,0.229007634,4.9514E-118
FR-180204,RDEA119,0.970872427,0.156,0.9
(5Z)-7-Oxozeaenol,Temsirolimus,0.970844766,0.263888889,3.38564E-87
Cetuximab,KIN001-236,0.97084209,NA,NA
A-443654,Crizotinib,0.970830905,0.384937238,0.9
Bryostatin 1,MPS-1-IN-1,0.97082738,0.099236641,NA
Phenformin,Shikonin,0.970814885,0.147058824,1.196E-110
